Name,Position,Team
Højbjerg,Midfielder,Spurs
Højlund,Forward,Man Utd
Jorginho,Midfielder,Arsenal
Kouyaté,Midfielder,Nottm Forest
Lowe,Defender,Sheffield Utd
Maatsen,Midfielder,Chelsea
McNeil,Midfielder,Everton
Mee,Defender,Brentford
Moore,Forward,Bournemouth
O.Dango,Midfielder,Bournemouth
Ogbonna,Defender,West Ham
Onyeka,Midfielder,Brentford
Palmer,Midfielder,Chelsea
Pellistri,Midfielder,Man Utd
Redmond,Midfielder,Burnley
Roberts,Defender,Burnley
Roerslev,Defender,Brentford
Sancho,Midfielder,Man Utd
Skipp,Midfielder,Spurs
Williams,Defender,Nottm Forest
Woodrow,Forward,Luton
Bellegarde,Midfielder,Wolves
Benson,Midfielder,Burnley
Bobb,Midfielder,Man City
Boubacar Traore,Midfielder,Wolves
Brooks,Midfielder,Sheffield Utd
Burstow,Forward,Chelsea
Calvert-Lewin,Forward,Everton
Coutinho,Midfielder,Aston Villa
Damsgaard,Midfielder,Brentford
Hackford,Forward,Sheffield Utd
Hamed Traorè,Midfielder,Bournemouth
Harris,Midfielder,Fulham
Hughes,Midfielder,Crystal Palace
James,Defender,Chelsea
Keane,Defender,Everton
Kehrer,Defender,West Ham
Kiwior,Defender,Arsenal
Kudus,Midfielder,West Ham
Lockyer,Defender,Luton
Madueke,Midfielder,Chelsea
Matheus N.,Midfielder,Man City
Muniz,Forward,Fulham
Mykolenko,Defender,Everton
Niakhaté,Defender,Nottm Forest
O'Shea,Defender,Burnley
Olsen,Goalkeeper,Aston Villa
Rak-Sakyi,Midfielder,Crystal Palace
Sambi,Midfielder,Luton
Sangaré,Midfielder,Nottm Forest
Taylor,Defender,Burnley
Thomas,Defender,Sheffield Utd
Toti,Defender,Wolves
Virgil,Defender,Liverpool
Webster,Defender,Brighton
Zaniolo,Midfielder,Aston Villa
A.Ramsey,Midfielder,Burnley
Ansu Fati,Midfielder,Brighton
Baptiste,Midfielder,Brentford
Berry,Midfielder,Luton
